6.47	8.76	6.63	10.30	0.34	5.41
6.15	8.81	2.76	8.51	0.47	4.95
5.68	13.59	7.08	26.48	0.35	6.14
5.61	10.98	5.83	21.10	0.47	4.47
5.12	10.74	5.53	16.85	0.35	4.26
5.86	9.77	9.13	22.20	0.25	4.62
5.67	13.80	5.50	17.82	0.34	2.87
4.78	13.61	0.08	7.86	0.38	3.77
5.84	14.08	0.24	9.44	0.31	5.43
6.27	8.92	1.53	4.54	0.41	5.28
5.53	10.12	8.69	5.45	0.63	5.85
4.38	12.86	16.92	8.27	0.39	4.46
4.80	11.85	15.97	6.26	0.45	4.07
4.92	17.37	18.24	6.15	0.50	5.39
5.23	15.12	10.07	5.99	0.41	4.65
4.41	14.16	8.64	4.48	0.32	5.00
4.88	13.23	10.66	4.35	0.27	3.86
5.27	9.98	22.02	4.05	0.34	4.82
4.99	17.12	10.53	5.39	0.32	3.30
5.17	13.47	7.91	7.08	0.40	4.14
4.58	15.77	11.29	4.38	0.39	4.11
5.39	13.79	20.15	4.50	0.42	5.01
5.02	15.71	14.51	5.90	0.32	3.41
4.95	10.26	18.03	10.76	0.46	3.99
4.85	14.50	12.95	8.70	0.26	2.98
5.17	13.11	17.30	2.07	0.46	3.74
5.55	13.91	9.84	3.44	0.44	4.30
6.61	17.74	9.69	4.02	0.53	3.44
4.78	11.75	11.01	5.24	0.36	2.97
4.72	13.13	13.41	4.68	0.62	3.48
6.57	7.39	4.42	5.42	0.40	5.73
6.15	8.31	3.65	6.35	0.36	5.38
5.79	9.09	3.40	7.77	0.35	4.70
6.98	8.14	7.69	1.14	0.41	6.05
6.25	8.19	3.06	3.63	0.45	4.31
6.38	3.70	3.93	2.38	0.22	4.79
5.67	4.13	3.11	2.01	0.35	3.80
5.44	9.80	2.42	1.43	0.35	5.03
5.98	4.37	3.40	0.00	0.36	5.18
5.53	6.49	12.29	2.85	0.40	6.33
5.39	9.57	3.36	4.07	0.33	4.47
4.76	13.49	8.11	4.25	0.45	7.30
5.93	5.09	2.71	5.17	0.44	3.87
6.03	7.58	3.44	4.27	0.38	5.07
5.57	12.23	6.08	6.99	0.43	7.76
5.28	10.19	2.96	4.55	0.40	6.00
5.18	7.60	4.89	3.80	0.38	5.04
4.61	11.16	7.85	5.44	0.43	6.07
5.05	8.03	6.82	3.93	0.35	5.33
5.60	5.91	8.78	4.68	0.58	5.33
